Date : 2020-09-18 15:40:23
Directory : c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo
Total : 213 files,  14193 codes, 904 comments, 2577 blanks, all 17674 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| RmsLog                                                                                                                         |          4 |          0 |          0 |          4 |          4 |
| RmsLog\db                                                                                                                      |          1 |          0 |          0 |          1 |          1 |
| RmsLog\gin                                                                                                                     |          1 |          0 |          0 |          1 |          1 |
| RmsLog\login                                                                                                                   |          1 |          0 |          0 |          1 |          1 |
| RmsLog\normal                                                                                                                  |          1 |          0 |          0 |          1 |          1 |
| databaseInit                                                                                                                   |          3 |        193 |          3 |         32 |        228 |
| databaseInit\pgOpsSqlx                                                                                                         |          3 |        193 |          3 |         32 |        228 |
| datebaseCommon                                                                                                                 |          7 |        224 |         32 |         56 |        312 |
| datebaseCommon\postgreOpsGorm                                                                                                  |          1 |         20 |          0 |          6 |         26 |
| datebaseCommon\postgreOpsSqlx                                                                                                  |          2 |         30 |          9 |          9 |         48 |
| datebaseCommon\redisOps                                                                                                        |          2 |        113 |         20 |         28 |        161 |
| datebaseCommon\security                                                                                                        |          2 |         61 |          3 |         13 |         77 |
| myUtils                                                                                                                        |         26 |        733 |        159 |        199 |      1,091 |
| myUtils\arrayMerge                                                                                                             |          4 |        160 |         26 |         39 |        225 |
| myUtils\deepCopy                                                                                                               |          1 |         12 |          0 |          3 |         15 |
| myUtils\encryptPassword                                                                                                        |          1 |         20 |          0 |          4 |         24 |
| myUtils\genPasswd                                                                                                              |          2 |         65 |          4 |         14 |         83 |
| myUtils\logMap                                                                                                                 |          7 |        191 |         83 |         57 |        331 |
| myUtils\nodeEncode                                                                                                             |          3 |         74 |          5 |         14 |         93 |
| myUtils\shortMessageService                                                                                                    |          4 |        106 |         40 |         36 |        182 |
| myUtils\timeParse                                                                                                              |          3 |         70 |          1 |         24 |         95 |
| myUtils\webapiError                                                                                                            |          1 |         35 |          0 |          8 |         43 |
| webapi                                                                                                                         |         74 |      6,059 |        461 |      1,164 |      7,684 |
| webapi\SmsNotifier                                                                                                             |          1 |         84 |          0 |         18 |        102 |
| webapi\authority                                                                                                               |          4 |        366 |         12 |         48 |        426 |
| webapi\authority\authApplication                                                                                               |          1 |        100 |          3 |         13 |        116 |
| webapi\authority\authGeneralFormDraftCRUD                                                                                      |          1 |         63 |          3 |         10 |         76 |
| webapi\authority\authProject                                                                                                   |          1 |        103 |          3 |         13 |        119 |
| webapi\authority\authUserCRUD                                                                                                  |          1 |        100 |          3 |         12 |        115 |
| webapi\dataInfra                                                                                                               |         33 |      2,496 |         98 |        527 |      3,121 |
| webapi\dataInfra\applicationDB                                                                                                 |          4 |        399 |          7 |         65 |        471 |
| webapi\dataInfra\applicationDM                                                                                                 |          5 |        490 |          8 |         88 |        586 |
| webapi\dataInfra\generalFormDraftDB                                                                                            |          3 |        136 |          0 |         26 |        162 |
| webapi\dataInfra\projectDB                                                                                                     |          4 |        369 |         17 |         89 |        475 |
| webapi\dataInfra\projectDM                                                                                                     |          5 |        431 |         27 |        124 |        582 |
| webapi\dataInfra\userDB                                                                                                        |          5 |        244 |         12 |         35 |        291 |
| webapi\dataInfra\userDM                                                                                                        |          2 |        213 |         21 |         50 |        284 |
| webapi\dataInfra\userTempDM                                                                                                    |          5 |        214 |          6 |         50 |        270 |
| webapi\dataInfra\userTempDM\config                                                                                             |          2 |         63 |          1 |         13 |         77 |
| webapi\dataInfra\userTempDM\security                                                                                           |          1 |         16 |          0 |          5 |         21 |
| webapi\handle                                                                                                                  |         10 |      1,310 |         80 |        213 |      1,603 |
| webapi\handle\extractLoginUserInfo                                                                                             |          1 |         43 |         26 |          9 |         78 |
| webapi\handle\handleApplication                                                                                                |          1 |        374 |          2 |         58 |        434 |
| webapi\handle\handleGeneralFormDraft                                                                                           |          1 |        240 |         15 |         37 |        292 |
| webapi\handle\handleLogin                                                                                                      |          3 |        183 |         23 |         40 |        246 |
| webapi\handle\handleProject                                                                                                    |          1 |        144 |          0 |         20 |        164 |
| webapi\handle\handleUser                                                                                                       |          3 |        326 |         14 |         49 |        389 |
| webapi\infrastructure                                                                                                          |          1 |        121 |         20 |         30 |        171 |
| webapi\middleware                                                                                                              |          2 |         51 |         14 |         16 |         81 |
| webapi\model                                                                                                                   |         12 |        389 |         79 |         97 |        565 |
| webapi\model\application                                                                                                       |          2 |         94 |          3 |         18 |        115 |
| webapi\model\generalForm                                                                                                       |          1 |          9 |          0 |          2 |         11 |
| webapi\model\generalFormDraft                                                                                                  |          1 |         17 |          1 |          4 |         22 |
| webapi\model\gfApplication                                                                                                     |          1 |         71 |          6 |         18 |         95 |
| webapi\model\project                                                                                                           |          2 |        102 |          6 |         25 |        133 |
| webapi\model\resource                                                                                                          |          1 |          6 |          0 |          2 |          8 |
| webapi\model\user                                                                                                              |          4 |         90 |         63 |         28 |        181 |
| webapi\workflow                                                                                                                |          7 |      1,141 |        154 |        182 |      1,477 |
| webapi\workflow\ApplyChangeResource                                                                                            |          3 |        497 |        107 |         77 |        681 |
| webapi\workflow\ApplyProjectAndResource                                                                                        |          3 |        560 |         41 |         88 |        689 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                       | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\.github\workflows\go.yml                                                      | YAML             |         29 |          0 |          9 |         38 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\.idea\RmsGo.iml                                                               | XML              |          8 |          0 |          0 |          8 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\.idea\inspectionProfiles\Project_Default.xml                                  | XML              |         58 |          0 |          0 |         58 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\.idea\misc.xml                                                                | XML              |          6 |          0 |          0 |          6 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\.idea\modules.xml                                                             | XML              |          8 |          0 |          0 |          8 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\.idea\sqldialects.xml                                                         | XML              |          7 |          0 |          0 |          7 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\.idea\vcs.xml                                                                 | XML              |          6 |          0 |          0 |          6 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\Configuration\Parameter\login.yaml                                            | YAML             |          8 |          0 |          0 |          8 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\Configuration\Parameter\logmap.yaml                                           | YAML             |          5 |          0 |          2 |          7 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\Configuration\Parameter\readme.md                                             | Markdown         |          6 |          0 |          3 |          9 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\Configuration\Security\database.yaml                                          | YAML             |          9 |          4 |          2 |         15 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\Configuration\Security\db41.yaml                                              | YAML             |          9 |          4 |          2 |         15 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\Configuration\Security\readme.md                                              | Markdown         |         13 |          0 |          3 |         16 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\Configuration\Security\sms.yaml                                               | YAML             |          6 |          0 |          1 |          7 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\CronJobs\main.go                                                              | Go               |         16 |          4 |          7 |         27 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\jsonNodeGroup\jsonNodeGroup.go                                 | Go               |         17 |          0 |          4 |         21 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\jsonNodeGroup\jsonNodeGroup_suite_test.go                      | Go               |         10 |          0 |          4 |         14 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\jsonNodeGroup\jsonNodeGroup_test.go                            | Go               |         53 |          0 |          5 |         58 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\myGob\myGob.go                                                 | Go               |         22 |          8 |          5 |         35 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\myGob\myGob_test.go                                            | Go               |         11 |          0 |          6 |         17 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\myJson\myJson.go                                               | Go               |         47 |          0 |          8 |         55 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\myPgBytea\myPgBytea.go                                         | Go               |         65 |          0 |         10 |         75 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\myPgBytea\myPgBytea_test.go                                    | Go               |         27 |          0 |          8 |         35 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\pointer\main.go                                                | Go               |         73 |          0 |         15 |         88 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\regularExpression\reg.go                                       | Go               |         20 |          1 |          7 |         28 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\testTree\main.go                                               | Go               |        183 |          1 |         29 |        213 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\timeParse\main.go                                              | Go               |         15 |          0 |          4 |         19 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\token\main.go                                                  | Go               |        279 |         19 |         34 |        332 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\token\main_test.go                                             | Go               |          5 |          0 |          3 |          8 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\MyDoc\GinkgoLearningNotes.md                                                  | Markdown         |        807 |          2 |        146 |        955 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\MyDoc\GinkgoOfficialDoc.md                                                    | Markdown         |        156 |          0 |         70 |        226 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\README.md                                                                     | Markdown         |          1 |          0 |          1 |          2 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\projectResDB\projectResDB.go                             | Go               |         17 |          0 |          4 |         21 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\projectResDB\projectResDB_suite_test.go                  | Go               |         24 |          0 |          8 |         32 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\projectResDB\projectResDB_test.go                        | Go               |         73 |          3 |         11 |         87 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\projectResDB\projectResPg.go                             | Go               |        145 |          2 |         24 |        171 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\projectResDM\memoryMap.go                                | Go               |        106 |          8 |         26 |        140 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\projectResDM\projectResDM.go                             | Go               |         11 |          0 |          3 |         14 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\projectResDM\projectResDM_suite_test.go                  | Go               |         33 |          0 |         10 |         43 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\projectResDM\projectResDM_test.go                        | Go               |         73 |          3 |         11 |         87 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resAllocDB\resAllocDB.go                                 | Go               |         16 |          0 |          4 |         20 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resAllocDB\resAllocDB_suite_test.go                      | Go               |         24 |          0 |          8 |         32 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resAllocDB\resAllocDB_test.go                            | Go               |         53 |          0 |          8 |         61 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resAllocDB\resAllocPg.go                                 | Go               |        126 |          3 |         19 |        148 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resAllocDM\resAllocDM.go                                 | Go               |          8 |          0 |          3 |         11 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resAllocDM\resAllocDM_suite_test.go                      | Go               |         27 |          0 |          8 |         35 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resAllocDM\resAllocDM_test.go                            | Go               |         53 |          0 |          8 |         61 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resAllocDM\resAllocDirectDB.go                           | Go               |         36 |          1 |          9 |         46 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resGTreeDM\resGTreeDM.go                                 | Go               |         64 |          0 |         18 |         82 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resNodeDB\redNodeDB.go                                   | Go               |         17 |          0 |          4 |         21 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resNodeDB\resNodeDB_suite_test.go                        | Go               |         24 |          0 |          8 |         32 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resNodeDB\resNodeDB_test.go                              | Go               |         68 |          2 |         11 |         81 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resNodeDB\resNodePg.go                                   | Go               |         80 |          0 |         13 |         93 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resNodeDM\memoryMap.go                                   | Go               |         77 |          6 |         19 |        102 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resNodeDM\resNodeDM.go                                   | Go               |         10 |          0 |          3 |         13 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resTreeDM\resTreeDM.go                                   | Go               |         64 |          0 |         18 |         82 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\databaseInit\pgOpsSqlx\createTable.go                              | Go               |         36 |          0 |          7 |         43 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\databaseInit\pgOpsSqlx\ops.go                                      | Go               |         32 |          1 |          7 |         40 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\databaseInit\pgOpsSqlx\seedTable.go                                | Go               |          7 |          0 |          7 |         14 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\metering\metering.go                                         | Go               |         40 |          0 |          9 |         49 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\projectRes\projectRes.go                                     | Go               |         43 |          5 |         12 |         60 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resAlloc\resAlloc.go                                         | Go               |         63 |          1 |         14 |         78 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNodeTree\copy.go                                         | Go               |          9 |          0 |          3 |         12 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNodeTree\count.go                                        | Go               |          8 |          0 |          4 |         12 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNodeTree\filtrate.go                                     | Go               |        102 |         15 |         19 |        136 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNodeTree\json.go                                         | Go               |         36 |          0 |         10 |         46 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNodeTree\resGNodeTree.go                                 | Go               |          8 |          0 |          3 |         11 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNodeTree\resGNodeTree_suite_test.go                      | Go               |         10 |          0 |          4 |         14 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNodeTree\syn.go                                          | Go               |         44 |          6 |         11 |         61 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNodeTree\tree256.json                                    | JSON             |      1,084 |          0 |          1 |      1,085 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNodeTree\tree_test.go                                    | Go               |        112 |         27 |         19 |        158 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNode\copy.go                                             | Go               |         15 |          0 |          3 |         18 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNode\count.go                                            | Go               |         17 |          0 |          6 |         23 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNode\json.go                                             | Go               |         26 |          0 |          5 |         31 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNode\resGNode.go                                         | Go               |          7 |          1 |          2 |         10 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeGroup\groupCopy.go                                    | Go               |         28 |          4 |          7 |         39 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeGroup\groupCount.go                                   | Go               |         54 |          0 |         10 |         64 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeGroup\groupJson.go                                    | Go               |         26 |          0 |          5 |         31 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeGroup\groupNode.go                                    | Go               |         15 |          0 |          4 |         19 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeTree\resNodeTree_suite_test.go                        | Go               |         10 |          0 |          4 |         14 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeTree\resNodeTree_test.go                              | Go               |         98 |          0 |         20 |        118 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeTree\tree.go                                          | Go               |         11 |          0 |          4 |         15 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeTree\treeCopy.go                                      | Go               |         15 |          0 |          5 |         20 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeTree\treeCount.go                                     | Go               |         12 |          0 |          4 |         16 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeTree\treeFiltrate.go                                  | Go               |         52 |          4 |         10 |         66 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeTree\treeJson.go                                      | Go               |         10 |          0 |          4 |         14 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeTree\treeLoad.go                                      | Go               |         90 |          7 |         15 |        112 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNode\resNode.go                                           | Go               |         35 |          1 |          8 |         44 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\resMetering\resourceMetering.go                                    | Go               |          1 |         18 |          2 |         21 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\resScheduling\client\client.go                                     | Go               |        174 |         24 |         34 |        232 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\resScheduling\grpc\scheduling.pb.go                                | Go               |        728 |         24 |         96 |        848 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\resScheduling\grpc\scheduling.proto                                | Protocol Buffers |         69 |          0 |         14 |         83 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\resScheduling\resourceScheduling\resourceScheduling.go             | Go               |        270 |         24 |         45 |        339 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\resScheduling\server\main.go                                       | Go               |         74 |          2 |         11 |         87 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\resScheduling\server\server.go                                     | Go               |        158 |         13 |         13 |        184 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\RmsLog\db\readme.md                                                           | Markdown         |          0 |          0 |          1 |          1 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\RmsLog\gin\readme.md                                                          | Markdown         |          0 |          0 |          1 |          1 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\RmsLog\login\readme.md                                                        | Markdown         |          0 |          0 |          1 |          1 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\RmsLog\normal\readme.md                                                       | Markdown         |          0 |          0 |          1 |          1 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\databaseInit\pgOpsSqlx\createTable.go                                         | Go               |         36 |          0 |          8 |         44 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\databaseInit\pgOpsSqlx\ops.go                                                 | Go               |         44 |          1 |          9 |         54 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\databaseInit\pgOpsSqlx\seedTable.go                                           | Go               |        113 |          2 |         15 |        130 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\datebaseCommon\postgreOpsGorm\myGorm.go                                       | Go               |         20 |          0 |          6 |         26 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\datebaseCommon\postgreOpsSqlx\mySqlx.go                                       | Go               |         26 |          0 |          6 |         32 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\datebaseCommon\postgreOpsSqlx\mySqlx_test.go                                  | Go               |          4 |          9 |          3 |         16 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\datebaseCommon\redisOps\redis.go                                              | Go               |         81 |         20 |         20 |        121 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\datebaseCommon\redisOps\redis_test.go                                         | Go               |         32 |          0 |          8 |         40 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\datebaseCommon\security\loadSecurity.go                                       | Go               |         32 |          3 |          7 |         42 |
