Date : 2020-09-18 15:40:23
Directory : c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo
Total : 213 files,  14193 codes, 904 comments, 2577 blanks, all 17674 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Go               |        181 |     11,694 |        891 |      2,289 |     14,874 |
| JSON             |          2 |      1,132 |          0 |          1 |      1,133 |
| Markdown         |         10 |        986 |          2 |        229 |      1,217 |
| YAML             |          9 |        152 |          9 |         24 |        185 |
| XML              |          7 |        129 |          0 |          3 |        132 |
| Protocol Buffers |          1 |         69 |          0 |         14 |         83 |
| Shell Script     |          2 |         19 |          2 |         10 |         31 |
| Docker           |          1 |         12 |          0 |          7 |         19 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |        213 |     14,193 |        904 |      2,577 |     17,674 |
| .github                                                                                                                        |          1 |         29 |          0 |          9 |         38 |
| .github\workflows                                                                                                              |          1 |         29 |          0 |          9 |         38 |
| .idea                                                                                                                          |          6 |         93 |          0 |          0 |         93 |
| .idea\inspectionProfiles                                                                                                       |          1 |         58 |          0 |          0 |         58 |
| Configuration                                                                                                                  |          7 |         56 |          8 |         13 |         77 |
| Configuration\Parameter                                                                                                        |          3 |         19 |          0 |          5 |         24 |
| Configuration\Security                                                                                                         |          4 |         37 |          8 |          8 |         53 |
| CronJobs                                                                                                                       |          1 |         16 |          4 |          7 |         27 |
| DK_Experiments                                                                                                                 |         14 |        827 |         29 |        142 |        998 |
| DK_Experiments\jsonNodeGroup                                                                                                   |          3 |         80 |          0 |         13 |         93 |
| DK_Experiments\myGob                                                                                                           |          2 |         33 |          8 |         11 |         52 |
| DK_Experiments\myJson                                                                                                          |          1 |         47 |          0 |          8 |         55 |
| DK_Experiments\myPgBytea                                                                                                       |          2 |         92 |          0 |         18 |        110 |
| DK_Experiments\pointer                                                                                                         |          1 |         73 |          0 |         15 |         88 |
| DK_Experiments\regularExpression                                                                                               |          1 |         20 |          1 |          7 |         28 |
| DK_Experiments\testTree                                                                                                        |          1 |        183 |          1 |         29 |        213 |
| DK_Experiments\timeParse                                                                                                       |          1 |         15 |          0 |          4 |         19 |
| DK_Experiments\token                                                                                                           |          2 |        284 |         19 |         37 |        340 |
| MyDoc                                                                                                                          |          2 |        963 |          2 |        216 |      1,181 |
| ResourceSM                                                                                                                     |         63 |      4,858 |        205 |        719 |      5,782 |
| ResourceSM\dataInfra                                                                                                           |         24 |      1,229 |         28 |        258 |      1,515 |
| ResourceSM\dataInfra\projectResDB                                                                                              |          4 |        259 |          5 |         47 |        311 |
| ResourceSM\dataInfra\projectResDM                                                                                              |          4 |        223 |         11 |         50 |        284 |
| ResourceSM\dataInfra\resAllocDB                                                                                                |          4 |        219 |          3 |         39 |        261 |
| ResourceSM\dataInfra\resAllocDM                                                                                                |          4 |        124 |          1 |         28 |        153 |
| ResourceSM\dataInfra\resGTreeDM                                                                                                |          1 |         64 |          0 |         18 |         82 |
| ResourceSM\dataInfra\resNodeDB                                                                                                 |          4 |        189 |          2 |         36 |        227 |
| ResourceSM\dataInfra\resNodeDM                                                                                                 |          2 |         87 |          6 |         22 |        115 |
| ResourceSM\dataInfra\resTreeDM                                                                                                 |          1 |         64 |          0 |         18 |         82 |
| ResourceSM\databaseInit                                                                                                        |          3 |         75 |          1 |         21 |         97 |
| ResourceSM\databaseInit\pgOpsSqlx                                                                                              |          3 |         75 |          1 |         21 |         97 |
| ResourceSM\model                                                                                                               |         29 |      2,080 |         71 |        225 |      2,376 |
| ResourceSM\model\metering                                                                                                      |          1 |         40 |          0 |          9 |         49 |
| ResourceSM\model\projectRes                                                                                                    |          1 |         43 |          5 |         12 |         60 |
| ResourceSM\model\resAlloc                                                                                                      |          1 |         63 |          1 |         14 |         78 |
| ResourceSM\model\resGNode                                                                                                      |          4 |         65 |          1 |         16 |         82 |
| ResourceSM\model\resGNodeTree                                                                                                  |          9 |      1,413 |         48 |         74 |      1,535 |
| ResourceSM\model\resNode                                                                                                       |          1 |         35 |          1 |          8 |         44 |
| ResourceSM\model\resNodeGroup                                                                                                  |          4 |        123 |          4 |         26 |        153 |
| ResourceSM\model\resNodeTree                                                                                                   |          8 |        298 |         11 |         66 |        375 |
| ResourceSM\resMetering                                                                                                         |          1 |          1 |         18 |          2 |         21 |
| ResourceSM\resScheduling                                                                                                       |          6 |      1,473 |         87 |        213 |      1,773 |
| ResourceSM\resScheduling\client                                                                                                |          1 |        174 |         24 |         34 |        232 |
| ResourceSM\resScheduling\grpc                                                                                                  |          2 |        797 |         24 |        110 |        931 |
| ResourceSM\resScheduling\resourceScheduling                                                                                    |          1 |        270 |         24 |         45 |        339 |
| ResourceSM\resScheduling\server                                                                                                |          2 |        232 |         15 |         24 |        271 |
