Date : 2020-10-08 20:25:53
Directory : c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo
Total : 248 files,  18791 codes, 1170 comments, 3119 blanks, all 23080 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| webapi\dataInfra\applicationDB                                                                                                 |          4 |        399 |          7 |         65 |        471 |
| webapi\dataInfra\applicationDM                                                                                                 |          5 |        491 |          8 |         88 |        587 |
| webapi\dataInfra\generalFormDraftDB                                                                                            |          3 |        136 |          0 |         26 |        162 |
| webapi\dataInfra\projectDB                                                                                                     |          4 |        381 |         17 |         91 |        489 |
| webapi\dataInfra\projectDM                                                                                                     |          5 |        459 |         29 |        132 |        620 |
| webapi\dataInfra\projectResDM                                                                                                  |          2 |        106 |          3 |         23 |        132 |
| webapi\dataInfra\userDB                                                                                                        |          5 |        244 |         12 |         35 |        291 |
| webapi\dataInfra\userDM                                                                                                        |          2 |        213 |         21 |         50 |        284 |
| webapi\dataInfra\userTempDM                                                                                                    |          5 |        214 |          6 |         50 |        270 |
| webapi\dataInfra\userTempDM\config                                                                                             |          2 |         63 |          1 |         13 |         77 |
| webapi\dataInfra\userTempDM\security                                                                                           |          1 |         16 |          0 |          5 |         21 |
| webapi\handle                                                                                                                  |         12 |      1,577 |         88 |        260 |      1,925 |
| webapi\handle\extractLoginUserInfo                                                                                             |          1 |         43 |         26 |          9 |         78 |
| webapi\handle\handleApplication                                                                                                |          1 |        377 |          3 |         59 |        439 |
| webapi\handle\handleGeneralFormDraft                                                                                           |          1 |        243 |         15 |         37 |        295 |
| webapi\handle\handleLogin                                                                                                      |          3 |        183 |         23 |         40 |        246 |
| webapi\handle\handleProject                                                                                                    |          2 |        186 |          1 |         28 |        215 |
| webapi\handle\handleProjectRes                                                                                                 |          1 |        219 |          6 |         38 |        263 |
| webapi\handle\handleUser                                                                                                       |          3 |        326 |         14 |         49 |        389 |
| webapi\infrastructure                                                                                                          |          1 |        125 |         23 |         32 |        180 |
| webapi\middleware                                                                                                              |          2 |         51 |         14 |         16 |         81 |
| webapi\model                                                                                                                   |         12 |        419 |         76 |        100 |        595 |
| webapi\model\application                                                                                                       |          2 |         95 |          3 |         18 |        116 |
| webapi\model\generalForm                                                                                                       |          1 |          9 |          0 |          2 |         11 |
| webapi\model\generalFormDraft                                                                                                  |          1 |         17 |          1 |          4 |         22 |
| webapi\model\gfApplication                                                                                                     |          1 |         90 |          3 |         20 |        113 |
| webapi\model\project                                                                                                           |          2 |        112 |          6 |         26 |        144 |
| webapi\model\resource                                                                                                          |          1 |          6 |          0 |          2 |          8 |
| webapi\model\user                                                                                                              |          4 |         90 |         63 |         28 |        181 |
| webapi\workflow                                                                                                                |          9 |      1,721 |        222 |        266 |      2,209 |
| webapi\workflow\applyChangeResource                                                                                            |          3 |        497 |        107 |         77 |        681 |
| webapi\workflow\applyProjectAndResource                                                                                        |          3 |        560 |         41 |         88 |        689 |
| webapi\workflow\applyReturnComputeRes                                                                                          |          1 |        279 |         35 |         42 |        356 |
| webapi\workflow\applyReturnStorageRes                                                                                          |          1 |        301 |         33 |         42 |        376 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                       | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\.github\workflows\go.yml                                                      | YAML             |         29 |          0 |          9 |         38 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\.idea\RmsGo.iml                                                               | XML              |          8 |          0 |          0 |          8 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\.idea\inspectionProfiles\Project_Default.xml                                  | XML              |         58 |          0 |          0 |         58 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\.idea\misc.xml                                                                | XML              |          6 |          0 |          0 |          6 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\.idea\modules.xml                                                             | XML              |          8 |          0 |          0 |          8 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\.idea\sqldialects.xml                                                         | XML              |          7 |          0 |          0 |          7 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\.idea\vcs.xml                                                                 | XML              |          6 |          0 |          0 |          6 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\Configuration\Parameter\login.yaml                                            | YAML             |          8 |          0 |          0 |          8 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\Configuration\Parameter\logmap.yaml                                           | YAML             |          5 |          0 |          2 |          7 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\Configuration\Parameter\logmapSchMet.yaml                                     | YAML             |          3 |          0 |          3 |          6 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\Configuration\Parameter\readme.md                                             | Markdown         |          6 |          0 |          3 |          9 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\Configuration\Parameter\tree_cpu256_8_32.json                                 | JSON             |      1,350 |          0 |          1 |      1,351 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\Configuration\Parameter\tree_gpu66_2_33.json                                  | JSON             |        358 |          0 |          1 |        359 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\Configuration\Security\database.yaml                                          | YAML             |          9 |          4 |          2 |         15 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\Configuration\Security\db41.yaml                                              | YAML             |          9 |          4 |          2 |         15 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\Configuration\Security\readme.md                                              | Markdown         |         13 |          0 |          3 |         16 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\Configuration\Security\sms.yaml                                               | YAML             |          6 |          0 |          1 |          7 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\CronJobs\main.go                                                              | Go               |         16 |          4 |          7 |         27 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\jsonNodeGroup\jsonNodeGroup.go                                 | Go               |         17 |          0 |          4 |         21 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\jsonNodeGroup\jsonNodeGroup_suite_test.go                      | Go               |         10 |          0 |          4 |         14 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\jsonNodeGroup\jsonNodeGroup_test.go                            | Go               |         53 |          0 |          5 |         58 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\myGob\myGob.go                                                 | Go               |         22 |          8 |          5 |         35 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\myGob\myGob_test.go                                            | Go               |         11 |          0 |          6 |         17 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\myJson\myJson.go                                               | Go               |         47 |          0 |          8 |         55 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\myPgBytea\myPgBytea.go                                         | Go               |         65 |          0 |         10 |         75 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\myPgBytea\myPgBytea_test.go                                    | Go               |         27 |          0 |          8 |         35 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\pointer\main.go                                                | Go               |         73 |          0 |         15 |         88 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\regularExpression\reg.go                                       | Go               |         20 |          1 |          7 |         28 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\testDivide\testDivide.go                                       | Go               |         15 |          0 |          5 |         20 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\testTree\main.go                                               | Go               |        183 |          1 |         29 |        213 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\timeParse\main.go                                              | Go               |         15 |          0 |          4 |         19 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\token\main.go                                                  | Go               |        279 |         19 |         34 |        332 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\token\main_test.go                                             | Go               |          5 |          0 |          3 |          8 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\MyDoc\GinkgoLearningNotes.md                                                  | Markdown         |        807 |          2 |        146 |        955 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\MyDoc\GinkgoOfficialDoc.md                                                    | Markdown         |        156 |          0 |         70 |        226 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\README.md                                                                     | Markdown         |          1 |          0 |          1 |          2 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\Dockerfile                                                         | Docker           |         12 |          0 |          7 |         19 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\meteringDB\meteringDB.go                                 | Go               |         18 |          0 |          6 |         24 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\meteringDB\meteringDB_suite_test.go                      | Go               |         24 |          0 |          8 |         32 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\meteringDB\meteringDB_test.go                            | Go               |         77 |          1 |         15 |         93 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\meteringDB\meteringPg.go                                 | Go               |         54 |          0 |          8 |         62 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\meteringDM\directDbWithCompute.go                        | Go               |        128 |         14 |         28 |        170 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\meteringDM\meteringDM.go                                 | Go               |         11 |          5 |          7 |         23 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\meteringDM\meteringDM_suite_test.go                      | Go               |         42 |          0 |         12 |         54 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\meteringDM\meteringDM_test.go                            | Go               |         81 |          2 |         18 |        101 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\projectResDB\projectResDB.go                             | Go               |         17 |          0 |          4 |         21 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\projectResDB\projectResDB_suite_test.go                  | Go               |         24 |          0 |          8 |         32 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\projectResDB\projectResDB_test.go                        | Go               |         73 |          3 |         11 |         87 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\projectResDB\projectResPg.go                             | Go               |        145 |          2 |         24 |        171 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\projectResDM\memoryMap.go                                | Go               |        100 |          8 |         25 |        133 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\projectResDM\projectResDM.go                             | Go               |         11 |          0 |          3 |         14 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\projectResDM\projectResDM_suite_test.go                  | Go               |         31 |          0 |          9 |         40 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\projectResDM\projectResDM_test.go                        | Go               |         73 |          3 |         11 |         87 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resAllocDB\resAllocDB.go                                 | Go               |         16 |          0 |          4 |         20 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resAllocDB\resAllocDB_suite_test.go                      | Go               |         24 |          0 |          8 |         32 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resAllocDB\resAllocDB_test.go                            | Go               |         53 |          0 |          8 |         61 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resAllocDB\resAllocPg.go                                 | Go               |        126 |          3 |         19 |        148 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resAllocDM\directDB.go                                   | Go               |         36 |          1 |          9 |         46 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resAllocDM\resAllocDM.go                                 | Go               |         11 |          0 |          4 |         15 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resAllocDM\resAllocDM_suite_test.go                      | Go               |         27 |          0 |          8 |         35 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resAllocDM\resAllocDM_test.go                            | Go               |         53 |          0 |          8 |         61 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resGTreeDM\resGTreeDM.go                                 | Go               |         61 |          0 |         14 |         75 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resNodeDB\redNodeDB.go                                   | Go               |         17 |          0 |          4 |         21 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resNodeDB\resNodeDB_suite_test.go                        | Go               |         24 |          0 |          8 |         32 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resNodeDB\resNodeDB_test.go                              | Go               |         68 |          2 |         11 |         81 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resNodeDB\resNodePg.go                                   | Go               |         80 |          0 |         13 |         93 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resNodeDM\directDB.go                                    | Go               |         39 |          0 |         11 |         50 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resNodeDM\memoryMap.go                                   | Go               |         71 |          6 |         18 |         95 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resNodeDM\resNodeDM.go                                   | Go               |         10 |          0 |          3 |         13 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resNodeDM\resNodeDM_suite_test.go                        | Go               |         32 |          0 |          8 |         40 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resNodeDM\resNodeDM_test.go                              | Go               |         76 |         32 |         14 |        122 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\dataInfra\resTreeDM\resTreeDM.go                                   | Go               |         64 |          0 |         18 |         82 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\databaseInit\pgOpsSqlx\createTable.go                              | Go               |         39 |          0 |          8 |         47 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\databaseInit\pgOpsSqlx\importFromFile.go                           | Go               |          4 |          0 |          4 |          8 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\databaseInit\pgOpsSqlx\ops.go                                      | Go               |         44 |          1 |          9 |         54 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\databaseInit\pgOpsSqlx\seedTable.go                                | Go               |         44 |          2 |          6 |         52 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\entrypoint.sh                                                      | Shell Script     |         10 |          1 |          6 |         17 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\gRpcService\client\meteringClient.go                               | Go               |        103 |         14 |         20 |        137 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\gRpcService\client\myTest\main.go                                  | Go               |         53 |          5 |         10 |         68 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\gRpcService\client\schedulingClient.go                             | Go               |        167 |         20 |         33 |        220 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\gRpcService\grpc\schedulingAndMetering.pb.go                       | Go               |      1,122 |         33 |        146 |      1,301 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\gRpcService\grpc\schedulingAndMetering.proto                       | Protocol Buffers |        106 |          0 |         25 |        131 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\gRpcService\server\meteringService.go                              | Go               |         70 |          1 |          9 |         80 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\gRpcService\server\schedulingService.go                            | Go               |        174 |         13 |         16 |        203 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\gRpcService\server\server.go                                       | Go               |         80 |          2 |         12 |         94 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\main.go                                                            | Go               |         23 |          0 |          5 |         28 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\metering\metering.go                                         | Go               |         62 |          1 |         13 |         76 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\projectRes\projectRes.go                                     | Go               |         43 |          5 |         12 |         60 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resAlloc\resAlloc.go                                         | Go               |         63 |          1 |         14 |         78 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNodeTree\copy.go                                         | Go               |          9 |          0 |          3 |         12 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNodeTree\count.go                                        | Go               |          8 |          0 |          4 |         12 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNodeTree\filtrate.go                                     | Go               |        102 |         15 |         19 |        136 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNodeTree\json.go                                         | Go               |         36 |          0 |         10 |         46 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNodeTree\resGNodeTree.go                                 | Go               |          8 |          0 |          3 |         11 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNodeTree\resGNodeTree_suite_test.go                      | Go               |         10 |          0 |          4 |         14 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNodeTree\syn.go                                          | Go               |         28 |         51 |          6 |         85 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNodeTree\tree256.json                                    | JSON             |      1,084 |          0 |          1 |      1,085 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNodeTree\tree_test.go                                    | Go               |         57 |         87 |         12 |        156 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNode\copy.go                                             | Go               |         15 |          0 |          3 |         18 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNode\count.go                                            | Go               |         17 |          0 |          6 |         23 |
